seed	datasetindex	modeltype	nsites	oddsdeltatrain	oddsdelta
1	1	mice	1	20.206307679259265	20.195565443896317
2	1	mice	1	Inf	Inf
3	1	mice	1	Inf	Inf
4	1	mice	1	Inf	Inf
5	1	mice	1	19.255448253933313	19.570765207341346
6	1	mice	1	20.704021938928616	20.847524573660515
7	1	mice	1	Inf	Inf
8	1	mice	1	16.33608329168151	16.28815472744445
9	1	mice	1	27.93562063132592	27.50545478226595
10	1	mice	1	22.971233980967842	22.912301051018893
11	1	mice	1	Inf	Inf
12	1	mice	1	Inf	Inf
13	1	mice	1	29.207154085899603	29.093748956161452
14	1	mice	1	17.147802338168507	17.10359587831087
15	1	mice	1	16.25363153093616	16.318595515523093
1	2	mice	1	10.507090621254472	10.730547312005552
2	2	mice	1	Inf	Inf
3	2	mice	1	10.65199271240116	11.024618610288107
4	2	mice	1	11.511756456913075	12.003024955321402
5	2	mice	1	9.978347301082888	9.969350309944224
6	2	mice	1	9.195344102242501	9.400364593709188
7	2	mice	1	Inf	Inf
8	2	mice	1	10.908532348728544	11.12395545823009
9	2	mice	1	8.729235908268775	8.941191790973233
10	2	mice	1	11.234846683468472	11.409444429400908
11	2	mice	1	24.478872680589983	24.792577020160753
12	2	mice	1	11.454784757006225	11.55975038309428
13	2	mice	1	Inf	Inf
14	2	mice	1	10.576094728914763	11.03042237319555
15	2	mice	1	Inf	Inf
1	3	mice	1	16.594613465665176	17.319877980534805
2	3	mice	1	Inf	Inf
3	3	mice	1	22.958817417927815	24.37360121863925
4	3	mice	1	18.833201864412214	20.153697267303276
5	3	mice	1	Inf	Inf
6	3	mice	1	Inf	Inf
7	3	mice	1	21.103025512939556	22.399805930706854
8	3	mice	1	Inf	Inf
9	3	mice	1	23.253684682462392	24.80098334589619
10	3	mice	1	22.523958416194997	24.073103230880996
11	3	mice	1	20.652680965140675	22.097356874225603
12	3	mice	1	Inf	Inf
13	3	mice	1	Inf	Inf
14	3	mice	1	17.90592778374009	18.925178316841468
15	3	mice	1	16.478826002586434	16.975852187540266
1	4	mice	1	34.56653933786952	38.80579779452985
2	4	mice	1	29.478650818430445	33.51465334789427
3	4	mice	1	35.24722249173104	39.97666288778718
4	4	mice	1	60.094273070615586	66.47233553977621
5	4	mice	1	31.762870012236842	36.190661484101966
6	4	mice	1	37.47979185424289	42.55486584007378
7	4	mice	1	36.4958349089641	41.549974441474404
8	4	mice	1	35.74216507334979	40.34351239528423
9	4	mice	1	29.865140636655827	33.723097102930296
10	4	mice	1	47.56221159844207	53.16766783473082
11	4	mice	1	35.64425909547213	40.407315997122126
12	4	mice	1	30.895090729710947	34.624075549426145
13	4	mice	1	33.62180363127754	37.99065319209096
14	4	mice	1	30.878796482367626	35.268228464269946
15	4	mice	1	31.613825984595827	35.89334493875032
1	5	mice	1	Inf	Inf
2	5	mice	1	14.94528390908177	15.749654068600133
3	5	mice	1	11.960938674324153	12.5261164314132
4	5	mice	1	12.597707977898384	13.197558216578711
5	5	mice	1	12.131883860989898	12.727190501951624
6	5	mice	1	13.495614558414065	14.16730281015732
7	5	mice	1	Inf	Inf
8	5	mice	1	9.969922246652093	10.556373001307534
9	5	mice	1	12.521434162241345	13.266540632798362
10	5	mice	1	11.060061623096878	11.77763830904811
11	5	mice	1	15.395642402778414	16.147243221667527
12	5	mice	1	Inf	Inf
13	5	mice	1	15.204664950581977	15.907137820011462
14	5	mice	1	15.861937351831934	16.49392994747266
15	5	mice	1	14.477244625464442	15.17326362531809
1	6	mice	1	7.954711149991807	8.241924197929738
2	6	mice	1	Inf	Inf
3	6	mice	1	14.019411330546369	14.067941349258692
4	6	mice	1	17.49005856827643	17.696665313296254
5	6	mice	1	11.647495441770468	11.864384368034282
6	6	mice	1	10.137719893842371	10.385250612430877
7	6	mice	1	16.240272811261747	16.19569963044241
8	6	mice	1	12.842496414817617	12.952617812992557
9	6	mice	1	9.132391198063436	9.304532804350636
10	6	mice	1	17.74918050860601	18.070139816947496
11	6	mice	1	12.239748249480131	12.472884389284344
12	6	mice	1	13.226646796420441	13.222658521921181
13	6	mice	1	Inf	Inf
14	6	mice	1	16.31860643952828	16.372316651898718
15	6	mice	1	11.602887628591978	11.928571988958108
1	7	mice	1	12.707289479267747	12.88081039921844
2	7	mice	1	17.308445303888853	17.685880378946592
3	7	mice	1	12.166045959395522	12.474553900158142
4	7	mice	1	15.303676560063998	15.646568879950536
5	7	mice	1	12.513848855799173	12.791978856575733
6	7	mice	1	11.866753614368445	12.106366010016139
7	7	mice	1	18.92832076002568	19.339227802763673
8	7	mice	1	18.912472221868303	18.998479589268097
9	7	mice	1	13.221707547238795	13.573190998305913
10	7	mice	1	Inf	Inf
11	7	mice	1	14.019622258314252	14.239029027504506
12	7	mice	1	13.974562734781406	14.340494321031533
13	7	mice	1	16.42719937516442	16.68358379971181
14	7	mice	1	14.172249960779437	14.48867087538318
15	7	mice	1	13.71460976333039	13.930738381337363
1	8	mice	1	18.946392436427214	19.5031771755928
2	8	mice	1	17.493378687409383	18.050131702833518
3	8	mice	1	19.419129583796316	20.11511431353357
4	8	mice	1	22.37029985745857	23.001667219856238
5	8	mice	1	26.430725342427916	27.161241974361026
6	8	mice	1	17.883649811460096	18.55765753256946
7	8	mice	1	19.243633269900837	19.69630423128347
8	8	mice	1	24.662035723759885	25.23855112326256
9	8	mice	1	20.230634939570773	20.92640734159289
