seed	modeltype	epochs	datasetindex	nsites	true_pos	true_neg	false_pos	false_neg	distance
8	mice	0	1	1	0	500	0	500	0
8	mice	0	1	1	0	500	0	500	2
8	mice	0	1	1	0	500	0	500	3
8	mice	0	1	1	116	364	136	384	5
8	mice	0	1	1	188	295	205	312	6
8	mice	0	1	1	280	228	272	220	8
8	mice	0	1	1	380	130	370	120	10
9	mice	0	2	1	0	500	0	500	0
9	mice	0	2	1	97	402	98	403	2
9	mice	0	2	1	178	341	159	322	3
9	mice	0	2	1	229	288	212	271	5
9	mice	0	2	1	229	287	213	271	6
9	mice	0	2	1	234	283	217	266	8
9	mice	0	2	1	238	272	228	262	10
15	mice	0	3	1	0	500	0	500	0
15	mice	0	3	1	0	500	0	500	2
15	mice	0	3	1	17	477	23	483	3
15	mice	0	3	1	115	380	120	385	5
15	mice	0	3	1	118	380	120	382	6
15	mice	0	3	1	118	380	120	382	8
15	mice	0	3	1	118	380	120	382	10
2	mice	0	4	1	0	500	0	500	0
2	mice	0	4	1	0	500	0	500	2
2	mice	0	4	1	0	500	0	500	3
2	mice	0	4	1	73	422	78	427	5
2	mice	0	4	1	222	285	215	278	6
2	mice	0	4	1	368	126	374	132	8
2	mice	0	4	1	380	123	377	120	10
8	mice	0	5	1	0	500	0	500	0
8	mice	0	5	1	0	500	0	500	2
8	mice	0	5	1	0	500	0	500	3
8	mice	0	5	1	2	497	3	498	5
8	mice	0	5	1	5	497	3	495	6
8	mice	0	5	1	83	441	59	417	8
8	mice	0	5	1	184	344	156	316	10
1	mice	0	6	1	0	500	0	500	0
1	mice	0	6	1	0	500	0	500	2
1	mice	0	6	1	3	494	6	497	3
1	mice	0	6	1	66	426	74	434	5
1	mice	0	6	1	93	395	105	407	6
1	mice	0	6	1	135	341	159	365	8
1	mice	0	6	1	140	330	170	360	10
6	mice	0	7	1	0	500	0	500	0
6	mice	0	7	1	0	500	0	500	2
6	mice	0	7	1	0	500	0	500	3
6	mice	0	7	1	0	500	0	500	5
6	mice	0	7	1	1	500	0	499	6
6	mice	0	7	1	4	492	8	496	8
6	mice	0	7	1	43	448	52	457	10
2	mice	0	8	1	0	500	0	500	0
2	mice	0	8	1	0	500	0	500	2
2	mice	0	8	1	0	500	0	500	3
2	mice	0	8	1	0	500	0	500	5
2	mice	0	8	1	0	500	0	500	6
2	mice	0	8	1	0	500	0	500	8
2	mice	0	8	1	10	491	9	490	10
11	mice	0	9	1	0	500	0	500	0
11	mice	0	9	1	0	500	0	500	2
11	mice	0	9	1	0	500	0	500	3
11	mice	0	9	1	0	500	0	500	5
11	mice	0	9	1	110	372	128	390	6
11	mice	0	9	1	118	366	134	382	8
11	mice	0	9	1	174	313	187	326	10
12	mice	0	10	1	0	500	0	500	0
12	mice	0	10	1	0	500	0	500	2
12	mice	0	10	1	0	500	0	500	3
12	mice	0	10	1	239	278	222	261	5
12	mice	0	10	1	264	261	239	236	6
12	mice	0	10	1	274	252	248	226	8
12	mice	0	10	1	378	132	368	122	10
9	mice	0	11	1	33	472	28	467	0
9	mice	0	11	1	66	444	56	434	2
9	mice	0	11	1	73	439	61	427	3
9	mice	0	11	1	105	410	90	395	5
9	mice	0	11	1	173	342	158	327	6
9	mice	0	11	1	191	324	176	309	8
9	mice	0	11	1	229	289	211	271	10
10	mice	0	12	1	0	500	0	500	0
10	mice	0	12	1	1	500	0	499	2
10	mice	0	12	1	94	415	85	406	3
10	mice	0	12	1	153	344	156	347	5
10	mice	0	12	1	170	324	176	330	6
10	mice	0	12	1	198	288	212	302	8
10	mice	0	12	1	230	260	240	270	10
5	mice	0	13	1	0	500	0	500	0
5	mice	0	13	1	0	500	0	500	2
5	mice	0	13	1	0	500	0	500	3
5	mice	0	13	1	6	491	9	494	5
5	mice	0	13	1	15	482	18	485	6
5	mice	0	13	1	80	402	98	420	8
5	mice	0	13	1	201	296	204	299	10
7	mice	0	14	1	0	500	0	500	0
7	mice	0	14	1	0	500	0	500	2
7	mice	0	14	1	0	500	0	500	3
7	mice	0	14	1	56	441	59	444	5
7	mice	0	14	1	145	350	150	355	6
7	mice	0	14	1	259	248	252	241	8
7	mice	0	14	1	358	158	342	142	10
4	mice	0	15	1	0	500	0	500	0
4	mice	0	15	1	0	500	0	500	2
4	mice	0	15	1	0	500	0	500	3
4	mice	0	15	1	0	500	0	500	5
4	mice	0	15	1	0	500	0	500	6
4	mice	0	15	1	6	500	0	494	8
4	mice	0	15	1	265	239	261	235	10
7	mice	0	16	1	0	500	0	500	0
7	mice	0	16	1	0	500	0	500	2
7	mice	0	16	1	9	497	3	491	3
7	mice	0	16	1	101	395	105	399	5
7	mice	0	16	1	145	341	159	355	6
7	mice	0	16	1	203	273	227	297	8
7	mice	0	16	1	234	245	255	266	10
1	mice	0	17	1	0	500	0	500	0
1	mice	0	17	1	0	500	0	500	2
1	mice	0	17	1	0	500	0	500	3
1	mice	0	17	1	0	500	0	500	5
1	mice	0	17	1	0	500	0	500	6
1	mice	0	17	1	0	500	0	500	8
1	mice	0	17	1	64	452	48	436	10
15	mice	0	18	1	0	500	0	500	0
15	mice	0	18	1	0	500	0	500	2
15	mice	0	18	1	0	500	0	500	3
15	mice	0	18	1	0	500	0	500	5
15	mice	0	18	1	0	500	0	500	6
15	mice	0	18	1	2	500	0	498	8
15	mice	0	18	1	29	476	24	471	10
5	mice	0	19	1	0	500	0	500	0
5	mice	0	19	1	0	500	0	500	2
5	mice	0	19	1	0	500	0	500	3
5	mice	0	19	1	370	107	393	130	5
5	mice	0	19	1	373	106	394	127	6
5	mice	0	19	1	374	104	396	126	8
5	mice	0	19	1	374	104	396	126	10
3	mice	0	20	1	0	500	0	500	0
3	mice	0	20	1	268	234	266	232	2
3	mice	0	20	1	316	186	314	184	3
3	mice	0	20	1	320	185	315	180	5
3	mice	0	20	1	325	184	316	175	6
3	mice	0	20	1	391	113	387	109	8
3	mice	0	20	1	391	113	387	109	10
2	mice	0	21	1	0	500	0	500	0
2	mice	0	21	1	0	500	0	500	2
2	mice	0	21	1	0	500	0	500	3
2	mice	0	21	1	0	500	0	500	5
2	mice	0	21	1	0	500	0	500	6
2	mice	0	21	1	4	494	6	496	8
2	mice	0	21	1	23	476	24	477	10
10	mice	0	22	1	0	500	0	500	0
10	mice	0	22	1	0	500	0	500	2
10	mice	0	22	1	0	500	0	500	3
10	mice	0	22	1	0	500	0	500	5
10	mice	0	22	1	0	500	0	500	6
10	mice	0	22	1	0	500	0	500	8
10	mice	0	22	1	33	476	24	467	10
13	mice	0	23	1	0	500	0	500	0
13	mice	0	23	1	0	500	0	500	2
13	mice	0	23	1	0	500	0	500	3
13	mice	0	23	1	39	472	28	461	5
13	mice	0	23	1	62	451	49	438	6
13	mice	0	23	1	66	446	54	434	8
13	mice	0	23	1	218	302	198	282	10
14	mice	0	24	1	54	448	52	446	0
14	mice	0	24	1	75	425	75	425	2
14	mice	0	24	1	87	422	78	413	3
14	mice	0	24	1	125	398	102	375	5
14	mice	0	24	1	132	394	106	368	6
14	mice	0	24	1	269	250	250	231	8
14	mice	0	24	1	269	247	253	231	10
9	mice	0	25	1	0	500	0	500	0
9	mice	0	25	1	0	500	0	500	2
9	mice	0	25	1	0	500	0	500	3
9	mice	0	25	1	0	500	0	500	5
9	mice	0	25	1	0	500	0	500	6
9	mice	0	25	1	2	498	2	498	8
9	mice	0	25	1	25	486	14	475	10
6	mice	0	26	1	0	500	0	500	0
6	mice	0	26	1	0	500	0	500	2
6	mice	0	26	1	0	500	0	500	3
6	mice	0	26	1	0	500	0	500	5
6	mice	0	26	1	0	500	0	500	6
6	mice	0	26	1	20	484	16	480	8
6	mice	0	26	1	28	480	20	472	10
2	mice	0	27	1	0	500	0	500	0
2	mice	0	27	1	0	500	0	500	2
2	mice	0	27	1	0	500	0	500	3
2	mice	0	27	1	0	500	0	500	5
2	mice	0	27	1	0	500	0	500	6
2	mice	0	27	1	3	499	1	497	8
2	mice	0	27	1	8	496	4	492	10
3	mice	0	28	1	0	500	0	500	0
3	mice	0	28	1	0	500	0	500	2
3	mice	0	28	1	0	500	0	500	3
3	mice	0	28	1	0	500	0	500	5
3	mice	0	28	1	0	500	0	500	6
3	mice	0	28	1	0	500	0	500	8
3	mice	0	28	1	271	237	263	229	10
15	mice	0	29	1	124	377	123	376	0
15	mice	0	29	1	135	371	129	365	2
15	mice	0	29	1	136	370	130	364	3
15	mice	0	29	1	140	369	131	360	5
15	mice	0	29	1	144	360	140	356	6
15	mice	0	29	1	155	349	151	345	8
15	mice	0	29	1	157	349	151	343	10
4	mice	0	30	1	0	500	0	500	0
4	mice	0	30	1	0	500	0	500	2
4	mice	0	30	1	0	500	0	500	3
4	mice	0	30	1	0	500	0	500	5
4	mice	0	30	1	0	500	0	500	6
4	mice	0	30	1	25	480	20	475	8
4	mice	0	30	1	49	455	45	451	10
11	mice	0	1	2	0	500	0	500	0
11	mice	0	1	2	0	500	0	500	2
11	mice	0	1	2	0	500	0	500	3
11	mice	0	1	2	5	499	1	495	5
11	mice	0	1	2	32	473	27	468	6
11	mice	0	1	2	247	273	227	253	8
11	mice	0	1	2	361	143	357	139	10
9	mice	0	2	2	1	496	4	499	0
9	mice	0	2	2	186	344	156	314	2
9	mice	0	2	2	224	293	207	276	3
9	mice	0	2	2	229	287	213	271	5
9	mice	0	2	2	229	287	213	271	6
9	mice	0	2	2	237	279	221	263	8
9	mice	0	2	2	246	273	227	254	10
2	mice	0	3	2	0	500	0	500	0
2	mice	0	3	2	8	494	6	492	2
2	mice	0	3	2	102	395	105	398	3
2	mice	0	3	2	252	254	246	248	5
2	mice	0	3	2	270	240	260	230	6
2	mice	0	3	2	342	167	333	158	8
2	mice	0	3	2	403	97	403	97	10
9	mice	0	4	2	0	500	0	500	0
9	mice	0	4	2	309	200	300	191	2
9	mice	0	4	2	318	189	311	182	3
9	mice	0	4	2	371	132	368	129	5
9	mice	0	4	2	380	123	377	120	6
9	mice	0	4	2	380	123	377	120	8
9	mice	0	4	2	478	13	487	22	10
4	mice	0	5	2	0	500	0	500	0
4	mice	0	5	2	0	500	0	500	2
4	mice	0	5	2	0	500	0	500	3
4	mice	0	5	2	0	500	0	500	5
4	mice	0	5	2	0	500	0	500	6
4	mice	0	5	2	0	500	0	500	8
4	mice	0	5	2	33	456	44	467	10
15	mice	0	6	2	0	500	0	500	0
15	mice	0	6	2	0	500	0	500	2
15	mice	0	6	2	0	500	0	500	3
15	mice	0	6	2	0	500	0	500	5
15	mice	0	6	2	0	500	0	500	6
15	mice	0	6	2	11	495	5	489	8
15	mice	0	6	2	82	422	78	418	10
7	mice	0	7	2	0	500	0	500	0
7	mice	0	7	2	10	493	7	490	2
7	mice	0	7	2	15	488	12	485	3
7	mice	0	7	2	53	455	45	447	5
